,Dealer's Price:,Delivery:,Price + Delivery:,MSRP:,Location:,Mileage:,Transmission:,Exterior Color:,Interior Color:,Est. Gas Mileage*:,Battery Performance:,Engine:,Drivetrain:,Fuel Type:,VIN:,Stock #:,Condition:,Price:,Model:,Dealer Name:,Dealer Address:,Cabin Size:,NHTSA Overall Safety Rating:
69,No Price Listed,,,"$55,500","Boerne, TX
26 mi away",6 miles,Automatic,Gray,Gray (2v),"19 MPG City
20 MPG Highway
19 MPG Combined",,310 hp 2.7L V6,Four-Wheel Drive,Gasoline,1FMEE5DP6NLA84810,220338,New,4WD,Bronco,Ford of Boerne,"31480 IH 10 west Boerne, TX 78006",,
70,"$41,990",Free,"$41,990",Not Provided,,193 miles,8-Speed Automatic,Gray,Gray,"22 MPG City
29 MPG Highway
25 MPG Combined",,250 hp 2L I4,All-Wheel Drive,Gasoline,3FTTW8F98NRA45047,2001820371,New,"$41,990",Maverick,Carvana,"31480 IH 10 west Boerne, TX 78006",Crew Cab,
71,"$42,990",Free,"$42,990",Not Provided,,229 miles,8-Speed Automatic,Blue,Black,"22 MPG City
29 MPG Highway
25 MPG Combined",,250 hp 2L I4,All-Wheel Drive,Gasoline,3FTTW8F99NRA41511,2001774094,New,"$42,990",Maverick,Carvana,"31480 IH 10 west Boerne, TX 78006",Crew Cab,
72,"$43,590",Free,"$43,590",Not Provided,,58 miles,8-Speed Automatic,Gray,Gray,"22 MPG City
29 MPG Highway
25 MPG Combined",,250 hp 2L I4,All-Wheel Drive,Gasoline,3FTTW8F98NRA53665,2001829203,New,"$43,590",Maverick,Carvana,"31480 IH 10 west Boerne, TX 78006",Crew Cab,
73,"$110,295",,,"$110,295","Villa Park, IL
1,037 mi away",8 miles,1-Speed Automatic,Interstellar White,Lunar Horizon (Jet Black/light Grey) Premium Leath,,"16 hr charge time, 329 mi range",,All-Wheel Drive,Electric,1GT40FDA4NU100450,B44982,New,"$110,295",Hummer,Haggerty Buick GMC Inc,"300 W Roosevelt Rd Villa Park, IL 60181",Crew Cab,
74,"$110,295",,,"$110,295","Burley, ID
1,243 mi away",10 miles,1-Speed Automatic,Interstellar White,Lunar Horizon (Jet Black/Light Grey),,"16 hr charge time, 329 mi range",,All-Wheel Drive,Electric,1GT40FDA6NU100367,9N457,New,"$110,295",Hummer,Haggerty Buick GMC Inc,"300 W Roosevelt Rd Villa Park, IL 60181",Crew Cab,
75,"$111,144",,,"$111,144","Portland, OR
1,722 mi away",8 miles,Automatic,INTERSTELLAR WHITE,JET BLACK/LIGHT GREY,,"16 hr charge time, 329 mi range",,All-Wheel Drive,Electric,1GT40FDA2NU100253,NU100253,New,"$111,144",Hummer,Buick GMC of Beaverton,"9155 SW Canyon Road Portland, OR 97225",Crew Cab,
76,"$112,839",,,"$112,839","Houston, TX
174 mi away",13 miles,Automatic,Interstellar White,Lunar Horizon (Jet Black/Light Grey),,"16 hr charge time, 329 mi range",,All-Wheel Drive,Electric,1GT40FDA3NU100794,NU100794,New,"$112,839",Hummer,Sterling McCall Buick GMC,"10422 Southwest Fwy Building D Houston, TX 77074",Crew Cab,
77,"$113,744",,,"$113,744","Anaheim, CA
1,180 mi away",5 miles,1-Speed Automatic,Interstellar White,Lunar Horizon (Jet Black/Light Grey),,"16 hr charge time, 329 mi range",,All-Wheel Drive,Electric,1GT40FDAXNU100422,22T00422,New,"$113,744",Hummer,Hardin Buick GMC,"1321 Auto Center Dr Anaheim, CA 92806",Crew Cab,
78,No Price Listed,,,Not Provided,"Tampa, FL
981 mi away",5 miles,1-Speed Automatic,Interstellar White,Lunar Horizon (Jet Black/light Grey),,"16 hr charge time, 329 mi range",,All-Wheel Drive,Electric,1GT40FDAXNU100341,N1591,New,AWD,Hummer,Rivard Buick GMC,"9740 Adamo Dr Tampa, FL 33619",Crew Cab,
79,"$114,290",,,"$114,290","Twin Falls, ID
1,270 mi away",5 miles,1-Speed Automatic,Interstellar White,Lunar Horizon (Jet Black/light Grey) Premium Leath,,"16 hr charge time, 329 mi range",,All-Wheel Drive,Electric,1GT40FDA8NU100645,G22158,New,"$114,290",Hummer,Rivard Buick GMC,"9740 Adamo Dr Tampa, FL 33619",Crew Cab,
80,"$114,590",,,"$114,590","Houston, TX
174 mi away",11 miles,Automatic,Interstellar White,Lunar Horizon (Jet Black/Light Grey),,"16 hr charge time, 329 mi range",,All-Wheel Drive,Electric,1GT40FDA6NU100305,NU100305,New,"$114,590",Hummer,Sterling McCall Buick GMC,"10422 Southwest Fwy Building D Houston, TX 77074",Crew Cab,
81,"$115,139",,,"$115,139","Olathe, KS
683 mi away",0 miles,1-Speed Automatic,Interstellar White,Lunar Horizon (Jet Black/light Grey) Premium Leath,,"16 hr charge time, 329 mi range",,All-Wheel Drive,Electric,1GT40FDAXNU100517,60517,New,"$115,139",Hummer,Sterling McCall Buick GMC,"10422 Southwest Fwy Building D Houston, TX 77074",Crew Cab,
82,"$115,139",,,Not Provided,"Dover, DE
1,462 mi away",3 miles,1-Speed Automatic,Interstellar White,Lunar Horizon (Jet Black/Light Grey),,"16 hr charge time, 329 mi range",,All-Wheel Drive,Electric,1GT40FDA3NU100729,20239,New,"$115,139",Hummer,Sterling McCall Buick GMC,"10422 Southwest Fwy Building D Houston, TX 77074",Crew Cab,
83,"$115,139",,,"$115,139","Houston, TX
174 mi away",11 miles,Automatic,Interstellar White,Lunar Horizon (Jet Black/Light Grey),,"16 hr charge time, 329 mi range",,All-Wheel Drive,Electric,1GT40FDA1NU100552,NU100552,New,"$115,139",Hummer,Sterling McCall Buick GMC,"10422 Southwest Fwy Building D Houston, TX 77074",Crew Cab,
84,"$115,139",,,"$115,139","Houston, TX
174 mi away",11 miles,Automatic,Interstellar White,Lunar Horizon (Jet Black/Light Grey),,"16 hr charge time, 329 mi range",,All-Wheel Drive,Electric,1GT40FDA4NU100674,NU100674,New,"$115,139",Hummer,Sterling McCall Buick GMC,"10422 Southwest Fwy Building D Houston, TX 77074",Crew Cab,
85,"$115,139",,,"$115,139","Houston, TX
174 mi away",13 miles,Automatic,Interstellar White,Lunar Horizon (Jet Black/Light Grey),,"16 hr charge time, 329 mi range",,All-Wheel Drive,Electric,1GT40FDA4NU100688,NU100688,New,"$115,139",Hummer,Sterling McCall Buick GMC,"10422 Southwest Fwy Building D Houston, TX 77074",Crew Cab,
86,"$115,139",,,"$115,139","Cincinnati, OH
1,042 mi away",---,1-Speed Automatic,Interstellar White,Lunar Horizon (Jet Black/Light Grey),,"16 hr charge time, 329 mi range",,All-Wheel Drive,Electric,1GT40FDA6NU100756,NU100756,New,"$115,139",Hummer,Mark Sweeney Buick GMC,"3365 Highland Ave Cincinnati, OH 45213",Crew Cab,
87,"$115,439",,,"$115,439","Houston, TX
174 mi away",5 miles,Automatic,Interstellar White,Lunar Horizon (Jet Black/Light Grey),,"16 hr charge time, 329 mi range",,All-Wheel Drive,Electric,1GT40FDA3NU100407,NU100407,New,"$115,439",Hummer,Sterling McCall Buick GMC,"10422 Southwest Fwy Building D Houston, TX 77074",Crew Cab,
88,No Price Listed,,,Not Provided,"Southfield, MI
1,233 mi away",0 miles,1-Speed Automatic,Interstellar White,Lunar Horizon (Jet Black/Light Grey),,"16 hr charge time, 329 mi range",,All-Wheel Drive,Electric,1GT40FDA6NU100658,ZJFSDZ,New,AWD,Hummer,Art Moran Buick GMC,"29300 Telegraph Rd Southfield, MI 48034",Crew Cab,
89,No Price Listed,,,Not Provided,"Englewood, NJ
1,583 mi away",2 miles,1-Speed Automatic,Interstellar White,Lunar Horizon (Jet Black/Light Grey),,"16 hr charge time, 329 mi range",,All-Wheel Drive,Electric,1GT40FDA9NU100427,23835,New,AWD,Hummer,Quality Chevrolet Buick GMC,"386 Grand Ave Englewood, NJ 07631",Crew Cab,
90,No Price Listed,,,"$114,590","Renton, WA
1,776 mi away",3 miles,Automatic,Interstellar White,Lunar Horizon (Jet Black/light Grey),,"16 hr charge time, 329 mi range",,All-Wheel Drive,Electric,1GT40FDAXNU100467,G2221,New,AWD,Hummer,Brotherton Cadillac Buick GMC in Renton,"215 SW 12th Street Renton, WA 98055",Crew Cab,
91,No Price Listed,,,"$112,839","Bellevue, WA
1,780 mi away",3 miles,1-Speed Automatic,Interstellar White,Lunar Horizon (Jet Black/Light Grey),,"16 hr charge time, 329 mi range",,All-Wheel Drive,Electric,1GT40FDA1NU100471,G30017,New,AWD,Hummer,Buick GMC of Bellevue,"13400 Northeast 20th Street Bellevue, WA 98005",Crew Cab,
92,No Price Listed,,,Not Provided,"Lincolnwood, IL
1,053 mi away",6 miles,1-Speed Automatic,Interstellar White,Lunar Horizon (Jet Black/Light Grey),,"16 hr charge time, 329 mi range",,All-Wheel Drive,Electric,1GT40FDA4NU100657,M22147,New,AWD,Hummer,Zeigler Buick GMC of Lincolnwood,"6900 N McCormick Blvd Lincolnwood, IL 60712",Crew Cab,
93,No Price Listed,,,Not Provided,"Escondido, CA
1,128 mi away",404 miles,Automatic,White,White (No Color),,"16 hr charge time, 329 mi range",,All-Wheel Drive,Electric,1GT40FDA1NU100163,28122,New,AWD,Hummer,Quantum Auto Sales,"728 N. Escondido Blvd. Escondido, CA 92025","Crew Cab, Short Bed",
94,"$46,015",,,"$46,015","Boerne, TX
25 mi away",5 miles,Automatic,Black,Jet Black,"19 MPG City
27 MPG Highway
22 MPG Combined",,308 hp 3.6L V6,Front-Wheel Drive,Gasoline,3GNKBERS8NS195163,NS195163,New,"$46,015",Blazer,Cavender Chevrolet,"30700 Interstate 10 - West Boerne, TX 78006",,
95,"$37,855",,,"$37,855","Boerne, TX
25 mi away",5 miles,Automatic,Summit White,Jet Black,"22 MPG City
29 MPG Highway
25 MPG Combined",,228 hp 2L I4,Front-Wheel Drive,Gasoline,3GNKBCR47NS203520,NS203520,New,"$37,855",Blazer,Cavender Chevrolet,"30700 Interstate 10 - West Boerne, TX 78006",,
96,"$46,370",,,"$46,370","Boerne, TX
25 mi away",10 miles,Automatic,White (Iridescent Pearl Tricoat),Jet Black,"19 MPG City
27 MPG Highway
22 MPG Combined",,308 hp 3.6L V6,Front-Wheel Drive,Gasoline,3GNKBERSXNS195987,NS195987,New,"$46,370",Blazer,Cavender Chevrolet,"30700 Interstate 10 - West Boerne, TX 78006",,
97,"$34,100",Free,"$34,100","$35,350","Kingsville, TX
140 mi away",0 miles,Automatic,White,Black,"22 MPG City
29 MPG Highway
25 MPG Combined",,228 hp 2L I4,Front-Wheel Drive,Gasoline,3GNKBCR40NS202323,22526,New,"$34,100",Blazer,Neessen Chevrolet Buick GMC Truck,"2007 S US Highway 77 Byp Kingsville, TX 78363",,
98,"$36,961",$319,"$37,281","$37,950","Fairfield, TX
205 mi away",2 miles,9-Speed Automatic Overdrive,Black,Jet Black,,,228 hp 2L I4,Front-Wheel Drive,Gasoline,3GNKBCR43NS200923,200923,New,"$37,281",Blazer,Freestone Autoplex,"1201 Hwy 84 West Fairfield, TX 75840",,
99,"$37,855",,,"$37,855","Boerne, TX
25 mi away",5 miles,Automatic,Summit White,Jet Black,"22 MPG City
29 MPG Highway
25 MPG Combined",,228 hp 2L I4,Front-Wheel Drive,Gasoline,3GNKBCR47NS203520,NS203520,New,"$37,855",Blazer,Cavender Chevrolet,"30700 Interstate 10 - West Boerne, TX 78006",,
100,"$42,141",$244,"$42,386","$43,040","Katy, TX
162 mi away",2 miles,Automatic,Black,,"19 MPG City
27 MPG Highway
22 MPG Combined",,308 hp 3.6L V6,Front-Wheel Drive,Gasoline,3GNKBFRS5NS189150,2250529,New,"$42,386",Blazer,Westside Chevrolet,"23001 Katy Fwy Katy, TX 77450",,
101,"$43,442",$264,"$43,706","$44,980","Houston, TX
177 mi away",2 miles,9-Speed Automatic Overdrive,Silver Ice Metallic,Jet Black,,,308 hp 3.6L V6,Front-Wheel Drive,Gasoline,3GNKBERS4NS145909,NS145909,New,"$43,706",Blazer,Classic Chevrolet of Houston,"7000 Southwest Fwy Houston, TX 77074",,
102,"$44,990",Free,"$44,990",Not Provided,,271 miles,9-Speed Automatic Overdrive,Silver,Black,,,308 hp 3.6L V6,All-Wheel Drive,Gasoline,3GNKBJRS1NS124962,2001707982,New,"$44,990",Blazer,Carvana,"7000 Southwest Fwy Houston, TX 77074",,
103,"$46,885",Free,"$46,885","$46,885","Henrietta, TX
301 mi away",5 miles,9-Speed Automatic Overdrive,White (Iridescent Pearl Tricoat),Jet Black,,,308 hp 3.6L V6,Front-Wheel Drive,Gasoline,3GNKBERS2NS200339,NS200339,New,"$46,885",Blazer,Four Stars Auto Ranch Chevrolet Buick,"262 US HWY 287 S Henrietta, TX 76365",,
104,"$46,015",,,"$46,015","Boerne, TX
25 mi away",5 miles,Automatic,Black,Jet Black,"19 MPG City
27 MPG Highway
22 MPG Combined",,308 hp 3.6L V6,Front-Wheel Drive,Gasoline,3GNKBERS8NS195163,NS195163,New,"$46,015",Blazer,Cavender Chevrolet,"30700 Interstate 10 - West Boerne, TX 78006",,
105,"$45,640","$1,803","$47,443","$45,140","Mandan, ND
1,207 mi away",7 miles,Automatic,Black,Jet Black,"19 MPG City
27 MPG Highway
22 MPG Combined",,308 hp 3.6L V6,Front-Wheel Drive,Gasoline,3GNKBERS5NS190079,Z2395,New,"$47,443",Blazer,Kramer Chevrolet,"1500 2nd St Ne Mandan, ND 58554",,
106,"$46,370",,,"$46,370","Boerne, TX
25 mi away",10 miles,Automatic,White (Iridescent Pearl Tricoat),Jet Black,"19 MPG City
27 MPG Highway
22 MPG Combined",,308 hp 3.6L V6,Front-Wheel Drive,Gasoline,3GNKBERSXNS195987,NS195987,New,"$46,370",Blazer,Cavender Chevrolet,"30700 Interstate 10 - West Boerne, TX 78006",,
107,"$47,670",Free,"$47,670","$47,670","Mckinney, TX
278 mi away",2 miles,9-Speed Automatic Overdrive,Red Hot,Jet Black,,,308 hp 3.6L V6,Front-Wheel Drive,Gasoline,3GNKBERS2NS203029,NS203029,New,"$47,670",Blazer,El Dorado Chevrolet,"2300 North Central Expressway Mckinney, TX 75070",,
108,"$46,725",,,"$45,975","Selma, TX
12 mi away",10 miles,Automatic,Black,Jet Black,"19 MPG City
27 MPG Highway
22 MPG Combined",,308 hp 3.6L V6,Front-Wheel Drive,Gasoline,3GNKBERS8NS196409,C220952,New,"$46,725",Blazer,"Gunn Chevrolet, Ltd.","16550 Interstate 35 N Selma, TX 78154",,
109,"$47,275",,,"$46,525","Selma, TX
12 mi away",10 miles,Automatic,Red Hot,Jet Black,"19 MPG City
27 MPG Highway
22 MPG Combined",,308 hp 3.6L V6,Front-Wheel Drive,Gasoline,3GNKBERS7NS196885,C220951,New,"$47,275",Blazer,"Gunn Chevrolet, Ltd.","16550 Interstate 35 N Selma, TX 78154",,
110,"$47,850",,,"$47,520","Selma, TX
12 mi away",10 miles,Automatic,White (Iridescent Pearl Tricoat),Jet Black,"19 MPG City
27 MPG Highway
22 MPG Combined",,308 hp 3.6L V6,Front-Wheel Drive,Gasoline,3GNKBERS2NS196860,C220980,New,"$47,850",Blazer,"Gunn Chevrolet, Ltd.","16550 Interstate 35 N Selma, TX 78154",,
111,"$48,460","$1,803","$50,263","$47,960","Mandan, ND
1,207 mi away",5 miles,Automatic,Cherry Red Tintcoat,Jet Black,"19 MPG City
26 MPG Highway
22 MPG Combined",,308 hp 3.6L V6,All-Wheel Drive,Gasoline,3GNKBLRS1NS186146,Z2399,New,"$50,263",Blazer,Kramer Chevrolet,"1500 2nd St Ne Mandan, ND 58554",,
112,"$49,675","$1,803","$51,478","$49,175","Mandan, ND
1,207 mi away",5 miles,Automatic,Iron Gray Metallic,Jet Black,"19 MPG City
26 MPG Highway
22 MPG Combined",,308 hp 3.6L V6,All-Wheel Drive,Gasoline,3GNKBLRS3NS205456,Z2405,New,"$51,478",Blazer,Kramer Chevrolet,"1500 2nd St Ne Mandan, ND 58554",,
113,No Price Listed,,,"$35,100","Floresville, TX
29 mi away",0 miles,9-Speed Automatic,Summit White,Jet Black Premium Cloth Seat Trim,"22 MPG City
29 MPG Highway
25 MPG Combined",,228 hp 2L I4,Front-Wheel Drive,Gasoline,3GNKBCR46NS193725,,New,FWD,Blazer,Richardson Chevrolet,"1539 US Hwy 181 N Floresville, TX 78114",,
114,No Price Listed,,,"$37,670","New Braunfels, TX
25 mi away",1 miles,9-Speed Automatic Overdrive,Black,Jet Black,,,228 hp 2L I4,Front-Wheel Drive,Gasoline,3GNKBCR49NS198479,198479,New,FWD,Blazer,ValMark Chevrolet,"725 S Ih 35 New Braunfels, TX 78130",,
115,No Price Listed,,,"$46,910","New Braunfels, TX
25 mi away",5 miles,9-Speed Automatic Overdrive,White (Iridescent Pearl Tricoat),Jet Black,,,308 hp 3.6L V6,Front-Wheel Drive,Gasoline,3GNKBERS3NS194860,194860,New,FWD,Blazer,ValMark Chevrolet,"725 S Ih 35 New Braunfels, TX 78130",,
116,No Price Listed,,,"$43,750","Pleasanton, TX
36 mi away",9 miles,Automatic,Black,Jet Black,"19 MPG City
27 MPG Highway
22 MPG Combined",,308 hp 3.6L V6,Front-Wheel Drive,Gasoline,3GNKBERS1NS192766,T22412,New,FWD,Blazer,Price Chevrolet,"2035 W Oaklawn Pleasanton, TX 78064",,
117,"$34,175",Free,"$34,175","$37,275","Houston, TX
172 mi away",0 miles,8-Speed Automatic,Black,Black,"22 MPG City
24 MPG Highway
22 MPG Combined",,270 hp 2L I4,Four-Wheel Drive,Gasoline,1C4GJXAN0NW257291,257291,New,"$34,175",Wrangler,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy Houston, TX 77079",,
118,"$38,560",,,"$38,560","San Marcos, TX
38 mi away",11 miles,8-Speed Automatic,Bright White Clearcoat,Black,"18 MPG City
23 MPG Highway
20 MPG Combined",,285 hp 3.6L V6,Four-Wheel Drive,Gasoline,1C4HJXAG9NW180572,C20368,New,"$38,560",Wrangler,San Marcos Chrysler Dodge,"2990 I-35 S San Marcos, TX 78666",,
119,"$38,660",$308,"$38,968","$38,660","Lamesa, TX
308 mi away",15 miles,8-Speed Automatic,Gray (Granite Crystal Metallic Clearcoat),Black,"18 MPG City
23 MPG Highway
20 MPG Combined",,285 hp 3.6L V6,Four-Wheel Drive,Gasoline,1C4HJXAG3NW194869,NW194869,New,"$38,968",Wrangler,Premier CDJR of Lamesa,"1611 Lubbock Hwy Lamesa, TX 79331",,
120,"$39,370",,,"$39,370","San Marcos, TX
38 mi away",0 miles,8-Speed Automatic,Black Clearcoat,Black,"18 MPG City
23 MPG Highway
20 MPG Combined",,285 hp 3.6L V6,Four-Wheel Drive,Gasoline,1C4HJXAG9NW272555,C20536,New,"$39,370",Wrangler,San Marcos Chrysler Dodge,"2990 I-35 S San Marcos, TX 78666",,
121,"$39,590",Free,"$39,590",Not Provided,,273 miles,6-Speed Manual,Red,Black,"17 MPG City
25 MPG Highway
20 MPG Combined",,285 hp 3.6L V6,Four-Wheel Drive,Gasoline,1C4GJXAG4MW759639,2001523949,New,"$39,590",Wrangler,Carvana,"2990 I-35 S San Marcos, TX 78666",,
122,"$39,575",$144,"$39,719","$39,575","Kingsville, TX
138 mi away",0 miles,Automatic,Black,,"18 MPG City
23 MPG Highway
20 MPG Combined",,285 hp 3.6L V6,Four-Wheel Drive,Gasoline,1C4HJXAG7NW262882,22178,New,"$39,719",Wrangler,Neessen Chrysler Dodge Jeep Ram,"2151 N US Highway 77 Byp Kingsville, TX 78363",,
123,"$40,561",,,"$41,330","Castroville, TX
25 mi away",11 miles,8-Speed Automatic,Black Clearcoat,Black,"22 MPG City
24 MPG Highway
22 MPG Combined",,270 hp 2L I4,Four-Wheel Drive,Gasoline,1C4GJXAN4NW175564,NW175564,New,"$40,561",Wrangler,Nyle Maxwell CDJR of Castroville,"1950 US Highway 90 E Castroville, TX 78009",,
124,"$40,716",,,"$41,330","Castroville, TX
25 mi away",29 miles,8-Speed Automatic,Firecracker Red Clearcoat,Black,"22 MPG City
24 MPG Highway
22 MPG Combined",,270 hp 2L I4,Four-Wheel Drive,Gasoline,1C4GJXANXNW175567,NW175567,New,"$40,716",Wrangler,Nyle Maxwell CDJR of Castroville,"1950 US Highway 90 E Castroville, TX 78009",,
125,"$40,910",$319,"$41,230","$39,910","Fairfield, TX
205 mi away",2 miles,8-Speed Automatic,Bright White Clearcoat,Black,"22 MPG City
24 MPG Highway
22 MPG Combined",,270 hp 2L I4,Four-Wheel Drive,Gasoline,1C4GJXANXNW223827,223827,New,"$41,230",Wrangler,Freestone Autoplex,"1201 Hwy 84 West Fairfield, TX 75840",,
126,"$41,305",$319,"$41,625","$40,305","Fairfield, TX
205 mi away",2 miles,8-Speed Automatic,Black Clearcoat,Black,"22 MPG City
24 MPG Highway
22 MPG Combined",,270 hp 2L I4,Four-Wheel Drive,Gasoline,1C4GJXAN8NW223826,223826,New,"$41,625",Wrangler,Freestone Autoplex,"1201 Hwy 84 West Fairfield, TX 75840",,
127,"$41,305",$319,"$41,625","$40,305","Fairfield, TX
205 mi away",2 miles,8-Speed Automatic,Firecracker Red Clearcoat,Black,"22 MPG City
24 MPG Highway
22 MPG Combined",,270 hp 2L I4,Four-Wheel Drive,Gasoline,1C4GJXAN1NW223828,223828,New,"$41,625",Wrangler,Freestone Autoplex,"1201 Hwy 84 West Fairfield, TX 75840",,
128,"$43,250",,,"$43,250","San Antonio, TX
8 mi away",0 miles,Automatic,Black Clearcoat,Black,"18 MPG City
23 MPG Highway
20 MPG Combined",,285 hp 3.6L V6,Four-Wheel Drive,Gasoline,1C4HJXAG1NW242112,W242112,New,"$43,250",Wrangler,San Antonio Dodge Chrysler Jeep Ram,"11910 N Ih 35 San Antonio, TX 78233",,
129,"$44,160",$319,"$44,480","$43,160","Fairfield, TX
205 mi away",2 miles,8-Speed Automatic,Hydro Blue Pearl Coat,Black,"22 MPG City
24 MPG Highway
22 MPG Combined",,270 hp 2L I4,Four-Wheel Drive,Gasoline,1C4GJXANXNW223830,223830,New,"$44,480",Wrangler,Freestone Autoplex,"1201 Hwy 84 West Fairfield, TX 75840",,
130,"$44,265",$319,"$44,585","$43,265","Fairfield, TX
205 mi away",2 miles,8-Speed Automatic,Bright White Clearcoat,Black,"18 MPG City
23 MPG Highway
20 MPG Combined",,285 hp 3.6L V6,Four-Wheel Drive,Gasoline,1C4GJXAG1NW223829,223829,New,"$44,585",Wrangler,Freestone Autoplex,"1201 Hwy 84 West Fairfield, TX 75840",,
131,"$45,465","$2,065","$47,530","$45,465","Boulder, CO
825 mi away",2 miles,8-Speed Automatic,Sarge Green Clearcoat,Black,"22 MPG City
24 MPG Highway
22 MPG Combined",,270 hp 2L I4,Four-Wheel Drive,Gasoline,1C4GJXAN5NW206501,G220257,New,"$47,530",Wrangler,Fowler Jeep of Boulder,"5075 East Pearl Pkwy Boulder, CO 80301",,
132,"$45,945",$399,"$46,344","$45,945","Frisco, TX
269 mi away",6 miles,Manual,Gray,Black,"17 MPG City
25 MPG Highway
20 MPG Combined",,285 hp 3.6L V6,Four-Wheel Drive,Gasoline,1C4HJXCG2NW201906,53165216,New,"$46,344",Wrangler,Frisco Chrysler Dodge Jeep Ram,"9640 State Highway 121 Frisco, TX 75035",,
133,"$50,535",$399,"$50,934","$50,535","Frisco, TX
269 mi away",0 miles,Automatic,Red,Black,"22 MPG City
24 MPG Highway
22 MPG Combined",,270 hp 2L I4,Four-Wheel Drive,Gasoline,1C4HJXCN0NW196137,53165436,New,"$50,934",Wrangler,Frisco Chrysler Dodge Jeep Ram,"9640 State Highway 121 Frisco, TX 75035",,
134,"$50,990",$308,"$51,298","$50,990","Lamesa, TX
308 mi away",15 miles,8-Speed Automatic,Black Clearcoat,Black,"18 MPG City
23 MPG Highway
20 MPG Combined",,285 hp 3.6L V6,Four-Wheel Drive,Gasoline,1C4HJXCG4NW180850,NW180850,New,"$51,298",Wrangler,Premier CDJR of Lamesa,"1611 Lubbock Hwy Lamesa, TX 79331",,
135,"$54,010","$2,065","$56,075","$54,010","Boulder, CO
825 mi away",6 miles,8-Speed Automatic,Black Clearcoat,Black,"22 MPG City
24 MPG Highway
22 MPG Combined",,270 hp 2L I4,Four-Wheel Drive,Gasoline,1C4HJXCN7NW169209,G220249,New,"$56,075",Wrangler,Fowler Jeep of Boulder,"5075 East Pearl Pkwy Boulder, CO 80301",,
136,"$49,771",,,"$50,220","Pleasanton, TX
29 mi away",10 miles,8-Speed Automatic,Sarge Green Clearcoat,Black,"18 MPG City
23 MPG Highway
20 MPG Combined",,285 hp 3.6L V6,Four-Wheel Drive,Gasoline,1C4HJXDG9NW194970,194970,New,"$49,771",Wrangler,Atascosa Chrysler Dodge Jeep,"110128 I-37 Pleasanton, TX 78064",,
137,"$36,465",Free,"$36,465","$39,565","Houston, TX
172 mi away",0 miles,8-Speed Automatic,Hydro Blue Pearlcoat,Black,"21 MPG City
24 MPG Highway
22 MPG Combined",,270 hp 2L I4,Four-Wheel Drive,Gasoline,1C4HJXDN2NW231419,231419,New,"$36,465",Wrangler,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy Houston, TX 77079",,
138,"$36,465",Free,"$36,465","$39,565","Houston, TX
172 mi away",0 miles,8-Speed Automatic,Black,Black,"21 MPG City
24 MPG Highway
22 MPG Combined",,270 hp 2L I4,Four-Wheel Drive,Gasoline,1C4HJXDN9NW231417,231417,New,"$36,465",Wrangler,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy Houston, TX 77079",,
139,"$39,270",Free,"$39,270","$42,370","Houston, TX
172 mi away",0 miles,8-Speed Automatic,Bright White,Brown (Heritage Tan/Black),"21 MPG City
24 MPG Highway
22 MPG Combined",,270 hp 2L I4,Four-Wheel Drive,Gasoline,1C4HJXDNXNW252230,252230,New,"$39,270",Wrangler,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy Houston, TX 77079",,
